rua,numero,lote,quadra,taxa
"8",0,1,20,2
"21",0,7,6,3
"4",0,9,1,2
"58",25,0,0,2
"57",118,0,0,2
"7",0,23,6,2
"26",0,303,8,3
"34",21,0,0,2
"45",1594,0,0,3
"10",0,24,17,2
"43",326,37,0,4
"43",327,37,0,4
"29",0,501,15,3
"14",210,0,0,2
"17",0,20,5,3
"27",0,506,9,3
"7",0,12,3,2
"7",0,13,3,2
"7",0,1,6,2
"7",0,11,3,2
"7",0,27,4,2
"7",0,24,4,2
"7",0,22,2,2
"25",104,0,0,2
"11",0,27,12,2
"25",9,0,0,2
"9",0,25,1,2
"34",51,37,14,2
"52",92,0,0,2
"14",0,12,5,2
"4",0,14,2,2
"8",0,4,22,2
"59",0,23,72,2
"38",1500,0,0,2
"25",72,0,0,2
"9",522,0,0,2
"9",0,18,9,2
"36",0,9,7,2
"55",75,0,0,2
"11",2,39,12,2
"60",107,0,0,4
"11",0,27,12,2
"11",383,24,0,2
"5",0,12,19,2
"11",0,27,12,2
"49",8,0,0,5
"9",0,21,10,2
"35",0,11,14,2
"11",0,16,4,2
"36",0,2,7,2
"39",135,0,0,2
"8",0,2,82,2
"9",0,26,9,2
"10",72,0,0,2
"8",0,1,77,2
"8",0,1,22,2
"8",0,2,65,2
"8",0,3,86,2
"8",0,7,34,2
"8",0,3,23,2
"8",0,2,87,2
"8",0,7,55,2
"8",0,5,21,2
"8",0,1,13,2
"8",0,4,43,2
"1",241,0,0,2
"13",0,1,11,2
"55",26,0,0,2
"42",102,0,0,2
"5",0,22,4,2
"52",6,0,0,2
"11",0,16,11,2
"39",381,0,0,2
"8",0,55,3,2
"1",1385,0,0,2
"36",0,4,6,2
"45",224,0,0,4
"45",222,0,0,4
"45",132,0,0,4
"45",1320,0,0,3
"45",496,0,0,3
